variant,kind,device,dtype,n_cond,n_target,dim,median_s,min_s,first_call_s,value,rss_mb,rss_delta_mb,dev_mem_mb,status
stacked_powchain,reference_like,cpu,float64,1,250,768,0.0025349790000745998,0.002347125000142114,0.0025929579999228736,3.1359701644748115,301.515625,47.984375,nan,ok
stacked_powchain,reference_like,cpu,float32,8,250,768,0.0014602919999333608,0.0013151249997918057,0.0019263750000391155,0.4009835720062256,301.796875,48.265625,nan,ok
stacked_powchain,reference_like,cpu,float64,8,250,768,0.002706708499999877,0.0025778339997941657,0.00271120799993696,0.4009836251005585,304.90625,51.375,nan,ok
stacked_powchain,reference_like,cpu,float32,32,250,768,0.0015712289999783025,0.0013927089999015152,0.0015787919999183941,0.10640406608581543,304.90625,51.375,nan,ok
stacked_powchain,reference_like,cpu,float64,32,250,768,0.0030765000000201326,0.00294962500015572,0.003080833000012717,0.10640451238917281,309.921875,56.390625,nan,ok
fixed_cdist,fixed,cpu,float32,1,250,2,9.499999998752173e-05,9.362499986309558e-05,0.008161499999914668,3.316561222076416,266.609375,12.34375,nan,ok
fixed_cdist,fixed,cpu,float64,1,250,2,9.802099998523772e-05,9.679200002210564e-05,0.00018716700014920207,3.316561096242164,274.40625,20.140625,nan,ok
fixed_cdist,fixed,cpu,float32,8,250,2,0.00013158299998394796,0.00012295800001993484,0.00020495800004027842,0.4653587341308594,274.5,20.234375,nan,ok
fixed_cdist,fixed,cpu,float64,8,250,2,0.0001420829999005946,0.0001370830000269052,0.00016645799996695132,0.46535859220780695,277.0625,22.796875,nan,ok
fixed_cdist,fixed,cpu,float32,32,250,2,0.00027337550000083866,0.00026508299993110995,0.00033129200005532766,0.1352066993713379,277.359375,23.09375,nan,ok
fixed_cdist,fixed,cpu,float64,32,250,2,0.00033072949997858814,0.0002998340000885946,0.00037104099988027883,0.13520679618036535,279.765625,25.5,nan,ok
fixed_cdist,fixed,cpu,float32,1,250,768,0.0002232710000953375,0.00020937499994033715,0.000297791000093639,3.1359703540802,281.109375,26.84375,nan,ok
fixed_cdist,fixed,cpu,float64,1,250,768,0.00023808350010767754,0.00022041700003683218,0.000373707999870021,3.1359701644748146,285.5625,31.296875,nan,ok
fixed_cdist,fixed,cpu,float32,8,250,768,0.0003248124999117863,0.0002975830000195856,0.0003447080000569258,0.4009835720062256,285.5625,31.296875,nan,ok
fixed_cdist,fixed,cpu,float64,8,250,768,0.0005418334999376384,0.0004498749999584106,0.0007448750000094151,0.4009836251005583,287.046875,32.78125,nan,ok
fixed_cdist,fixed,cpu,float32,32,250,768,0.0005681665001020519,0.00048654199986231106,0.0006390830001237191,0.10640430450439453,287.109375,32.84375,nan,ok
fixed_cdist,fixed,cpu,float64,32,250,768,0.000796958000023551,0.0007234999998217972,0.00097758300012174,0.10640451238917303,289.5,35.234375,nan,ok
fixed_mm,fixed,cpu,float32,1,250,2,0.000100937999945927,9.94160000118427e-05,0.00806579100003546,3.316560983657837,265.125,10.421875,nan,ok
fixed_mm,fixed,cpu,float64,1,250,2,0.00010072899999613583,0.00010020800004895136,0.00017112499995164399,3.316561096242164,273.515625,18.8125,nan,ok
fixed_mm,fixed,cpu,float32,8,250,2,0.00013224949998402735,0.0001259169998775178,0.00021054200010439672,0.4653584957122803,273.59375,18.890625,nan,ok
fixed_mm,fixed,cpu,float64,8,250,2,0.00014585399992483872,0.00014183299981596065,0.0002207919999364094,0.46535859220780695,278.578125,23.875,nan,ok
fixed_mm,fixed,cpu,float32,32,250,2,0.00025879149995944317,0.0002480000000559812,0.00028958300003978366,0.1352066993713379,279.03125,24.328125,nan,ok
fixed_mm,fixed,cpu,float64,32,250,2,0.00030414599996220204,0.00028825000003962487,0.00035691599987330846,0.13520679618036624,279.125,24.421875,nan,ok
fixed_mm,fixed,cpu,float32,1,250,768,0.00011658300002181932,0.0001156250000349246,0.0001387079998949048,3.1359689235687256,280.390625,25.6875,nan,ok
fixed_mm,fixed,cpu,float64,1,250,768,0.0001192710001305386,0.00011887499999829743,0.00014570899998034292,3.1359701644748146,284.265625,29.5625,nan,ok
fixed_mm,fixed,cpu,float32,8,250,768,0.0001785829999789712,0.00015616699988640903,0.00022304100002656924,0.4009833335876465,286.953125,32.25,nan,ok
fixed_mm,fixed,cpu,float64,8,250,768,0.0002685005000557794,0.0002480000000559812,0.000349207999988721,0.4009836251005583,288.578125,33.875,nan,ok
fixed_mm,fixed,cpu,float32,32,250,768,0.0003259165001736619,0.0003058340000734461,0.00038695900002494454,0.10640430450439453,289.78125,35.078125,nan,ok
fixed_mm,fixed,cpu,float64,32,250,768,0.0004354999998668063,0.0004065829998580739,0.0005238749999989523,0.10640451238917303,289.8125,35.109375,nan,ok
fixed_mm_loop,fixed,cpu,float32,1,250,2,0.00016350000009879295,0.00016162500014615944,0.008271749999948952,3.316560983657837,266.84375,11.578125,nan,ok
fixed_mm_loop,fixed,cpu,float64,1,250,2,0.00016864600002008956,0.00016733400002522103,0.00023837499998080602,3.316561096242164,274.71875,19.453125,nan,ok
fixed_mm_loop,fixed,cpu,float32,8,250,2,0.00017281199995977659,0.00017137500003627792,0.00028770799985977646,0.4653584957122803,274.828125,19.5625,nan,ok
fixed_mm_loop,fixed,cpu,float64,8,250,2,0.00020635399994262116,0.0002052920001460734,0.00025179199997182877,0.46535859220780695,275.609375,20.34375,nan,ok
fixed_mm_loop,fixed,cpu,float32,32,250,2,0.00028562499994677637,0.00027825000006487244,0.00033616700011407374,0.1352066993713379,276.4375,21.171875,nan,ok
fixed_mm_loop,fixed,cpu,float64,32,250,2,0.00036464549987158534,0.00034779099996740115,0.0004133750001074077,0.13520679618036624,278.90625,23.640625,nan,ok
fixed_mm_loop,fixed,cpu,float32,1,250,768,0.0001760415000262583,0.00017516699995212548,0.00020216699999764387,3.1359689235687256,279.0,23.734375,nan,ok
fixed_mm_loop,fixed,cpu,float64,1,250,768,0.00018514550004056218,0.0001844999999320862,0.00024091599993880664,3.1359701644748146,284.375,29.109375,nan,ok
fixed_mm_loop,fixed,cpu,float32,8,250,768,0.0002336874999855354,0.00020562500003507012,0.0003069999997933337,0.4009833335876465,284.375,29.109375,nan,ok
fixed_mm_loop,fixed,cpu,float64,8,250,768,0.0003434375000779255,0.0003421660001095006,0.00039995900010580954,0.4009836251005583,285.90625,30.640625,nan,ok
fixed_mm_loop,fixed,cpu,float32,32,250,768,0.0003574170001456878,0.00031675000013819954,0.00040229199998975673,0.10640430450439453,285.9375,30.671875,nan,ok
fixed_mm_loop,fixed,cpu,float64,32,250,768,0.0005200834999641302,0.00048575000005257607,0.0005602080000244314,0.10640451238917303,288.328125,33.0625,nan,ok
fixed_mm_powchain,fixed,cpu,float32,1,250,2,0.00013622899996335036,0.0001341669999419537,0.00814358299999185,3.316560983657837,264.796875,10.609375,nan,ok
fixed_mm_powchain,fixed,cpu,float64,1,250,2,0.0001359374998628482,0.00013400000011642987,0.00023933300008138758,3.316561096242164,273.734375,19.546875,nan,ok
fixed_mm_powchain,fixed,cpu,float32,8,250,2,0.00014681250002013257,0.0001448750001600274,0.00025500000015199475,0.4653584957122803,273.890625,19.703125,nan,ok
fixed_mm_powchain,fixed,cpu,float64,8,250,2,0.00015668799994728033,0.0001556249999339343,0.0001972919999388978,0.46535859220780695,278.84375,24.65625,nan,ok
fixed_mm_powchain,fixed,cpu,float32,32,250,2,0.00020039549997363792,0.00019387500015000114,0.0002376669999648584,0.1352064609527588,279.640625,25.453125,nan,ok
fixed_mm_powchain,fixed,cpu,float64,32,250,2,0.00023860399994646286,0.00022841699978926044,0.0002680420000160666,0.13520679618036624,279.671875,25.484375,nan,ok
fixed_mm_powchain,fixed,cpu,float32,1,250,768,0.00014785450002818834,0.00014691599994876015,0.0001676250001310109,3.1359684467315674,279.734375,25.546875,nan,ok
fixed_mm_powchain,fixed,cpu,float64,1,250,768,0.00015118700002858532,0.0001500840000971948,0.00020445800009838422,3.1359701644748146,283.625,29.4375,nan,ok
fixed_mm_powchain,fixed,cpu,float32,8,250,768,0.00019547949989373592,0.00017529199999444245,0.0002563749999353604,0.4009833335876465,286.578125,32.390625,nan,ok
fixed_mm_powchain,fixed,cpu,float64,8,250,768,0.00027910400001474045,0.0002746250002019224,0.0003495840001050965,0.40098362510055785,288.0625,33.875,nan,ok
fixed_mm_powchain,fixed,cpu,float32,32,250,768,0.0002692084999580402,0.00024858300002961187,0.00031608300014340784,0.10640430450439453,288.0625,33.875,nan,ok
fixed_mm_powchain,fixed,cpu,float64,32,250,768,0.0004224580001164213,0.00036212500003784953,0.0004150419999859878,0.10640451238917303,288.0625,33.875,nan,ok
fixed_mm_chunked256,fixed,cpu,float32,1,250,2,0.00011735449993466318,0.0001150829998550762,0.008400082999969527,3.316560983657837,265.484375,10.6875,nan,ok
fixed_mm_chunked256,fixed,cpu,float64,1,250,2,0.00011870850005379907,0.00011695800003508339,0.00023845900000196707,3.316561096242164,273.84375,19.046875,nan,ok
fixed_mm_chunked256,fixed,cpu,float32,8,250,2,0.0001283960000364459,0.00012683299996751884,0.0002331250000224827,0.4653584957122803,275.1875,20.390625,nan,ok
fixed_mm_chunked256,fixed,cpu,float64,8,250,2,0.00015039549998618895,0.00014950000013413955,0.00017970800013245025,0.46535859220780695,280.109375,25.3125,nan,ok
fixed_mm_chunked256,fixed,cpu,float32,32,250,2,0.00024618750001081935,0.0002414170000974991,0.00031300000000555883,0.1352066993713379,280.65625,25.859375,nan,ok
fixed_mm_chunked256,fixed,cpu,float64,32,250,2,0.0002913540000690773,0.00027608300001702446,0.0003708750000441796,0.13520679618036535,280.71875,25.921875,nan,ok
fixed_mm_chunked256,fixed,cpu,float32,1,250,768,0.0001284585000576044,0.00012720800009446975,0.00015325000003940659,3.1359691619873047,280.765625,25.96875,nan,ok
fixed_mm_chunked256,fixed,cpu,float64,1,250,768,0.00013385400006882264,0.0001323339999999007,0.00020133299994995468,3.1359701644748146,285.578125,30.78125,nan,ok
fixed_mm_chunked256,fixed,cpu,float32,8,250,768,0.0001835414999504792,0.00016154199988704931,0.0002474159998655523,0.4009838104248047,285.578125,30.78125,nan,ok
fixed_mm_chunked256,fixed,cpu,float64,8,250,768,0.0002775839999458185,0.00027399999999033753,0.00032399999986409966,0.40098362510055874,287.140625,32.34375,nan,ok
fixed_mm_chunked256,fixed,cpu,float32,32,250,768,0.00033139599997866753,0.00029170799984967744,0.00038712500008841744,0.10640478134155273,287.140625,32.34375,nan,ok
fixed_mm_chunked256,fixed,cpu,float64,32,250,768,0.0004914789999475033,0.00045716699992226495,0.0006229169998732687,0.10640451238917348,289.53125,34.734375,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float32,1,250,2,0.0005770830000528804,0.0005262500001208537,0.009707457999866165,3.314120054244995,272.296875,19.015625,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float64,1,250,2,0.0011275834999651124,0.0010531249999985448,0.0015579580001485738,3.3141192658889578,294.171875,40.890625,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float32,8,250,2,0.0006424375000051441,0.0005757500000527216,0.0007453749999513093,0.4601118564605713,294.234375,40.953125,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float64,8,250,2,0.0011613545000273007,0.0010867500000131258,0.001194999999825086,0.46011128694941217,294.40625,41.125,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float32,32,250,2,0.0008364169999595106,0.0007499590001316392,0.0009473749998960557,0.13308358192443848,294.8125,41.53125,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float64,32,250,2,0.0015131669999846054,0.0014315000000806322,0.0015627089999270538,0.13308372007782632,297.234375,43.953125,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float32,1,250,768,0.0005825204999609923,0.0005259170000044833,0.0006452079999235139,3.135843276977539,297.296875,44.015625,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float64,1,250,768,0.0011605209999743238,0.0011033329999463604,0.0013720829999783746,3.1358445764700296,299.71875,46.4375,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float32,8,250,768,0.0006895630000371966,0.0006222080000952701,0.0008470840000427415,0.400943398475647,299.78125,46.5,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float64,8,250,768,0.0014094169999907535,0.0012853749999521824,0.001544666999961919,0.400943429403531,299.78125,46.5,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float32,32,250,768,0.000929020500052502,0.0008561250001548615,0.0010612089999995078,0.10645782947540283,299.78125,46.5,nan,ok
fixed_mm_adaptive,fixed_adaptive,cpu,float64,32,250,768,0.001787187499871834,0.0016780830001152935,0.0018592500000522705,0.10645772228329142,299.78125,46.5,nan,ok
reference_adaptive,reference_adaptive,cpu,float32,1,250,2,0.0009278750001158187,0.0008669999999710853,0.0095338339999671,3.3141191005706787,275.046875,21.28125,nan,ok
reference_adaptive,reference_adaptive,cpu,float64,1,250,2,0.0016548545000887316,0.001547374999972817,0.0017431670000860322,3.314119265888955,294.421875,40.65625,nan,ok
reference_adaptive,reference_adaptive,cpu,float32,8,250,2,0.0010039789999609638,0.0009516249999705906,0.0011562919999050791,0.4601116180419922,294.421875,40.65625,nan,ok
reference_adaptive,reference_adaptive,cpu,float64,8,250,2,0.0017953749999151114,0.0016992500000014843,0.0020059169999058213,0.4601112869494144,300.0625,46.296875,nan,ok
reference_adaptive,reference_adaptive,cpu,float32,32,250,2,0.0012756665000779321,0.001157374999820604,0.0015103330001693394,0.13308358192443848,300.0625,46.296875,nan,ok
reference_adaptive,reference_adaptive,cpu,float64,32,250,2,0.0021219164999592977,0.0019271669998488505,0.0022319169997899735,0.13308372007782499,306.203125,52.4375,nan,ok
reference_adaptive,reference_adaptive,cpu,float32,1,250,768,0.001514165999992656,0.0014134579998881236,0.0016043330001593858,3.135842800140381,306.203125,52.4375,nan,ok
reference_adaptive,reference_adaptive,cpu,float64,1,250,768,0.003217229000142652,0.003084417000081885,0.004117833000009341,3.1358445764700265,313.421875,59.65625,nan,ok
reference_adaptive,reference_adaptive,cpu,float32,8,250,768,0.0016299374999562133,0.001533667000103378,0.0017685840000467579,0.40094316005706787,313.421875,59.65625,nan,ok
reference_adaptive,reference_adaptive,cpu,float64,8,250,768,0.0035795619999134942,0.003460291999999754,0.003415166999957364,0.40094342940353145,313.421875,59.65625,nan,ok
reference_adaptive,reference_adaptive,cpu,float32,32,250,768,0.0019085834999259532,0.0018311670000912272,0.002048167000111789,0.10645830631256104,313.421875,59.65625,nan,ok
reference_adaptive,reference_adaptive,cpu,float64,32,250,768,0.00409660449997773,0.0038671249999424617,0.004180334000011499,0.10645772228329098,319.59375,65.828125,nan,ok
batched_fixed_mm_B3,batched,cpu,float32,1,250,2,0.0001504164999914792,0.0001445000000330765,0.009166416999960347,11.105609893798828,265.390625,10.71875,nan,ok
batched_fixed_mm_B3,batched,cpu,float64,1,250,2,0.00014541599989570386,0.00014108400000623078,0.0002096250000249711,11.105611070510134,274.34375,19.671875,nan,ok
batched_fixed_mm_B3,batched,cpu,float32,8,250,2,0.00018366649999279616,0.0001753750000261789,0.00021662499989361095,1.181528091430664,274.515625,19.84375,nan,ok
batched_fixed_mm_B3,batched,cpu,float64,8,250,2,0.00023324999995111284,0.00021612499995171675,0.0002758329999323905,1.1815280226880778,276.921875,22.25,nan,ok
batched_fixed_mm_B3,batched,cpu,float32,32,250,2,0.00039202050004405464,0.0003580410000267875,0.00041737500009730866,0.2993593215942383,276.96875,22.296875,nan,ok
batched_fixed_mm_B3,batched,cpu,float64,32,250,2,0.0004948125000510117,0.0004732910001621349,0.0005678340000940807,0.2993594226760763,277.140625,22.46875,nan,ok
batched_fixed_mm_B3,batched,cpu,float32,1,250,768,0.00017218800007867685,0.00016875000005711627,0.00019150000002809975,9.325419425964355,277.203125,22.53125,nan,ok
batched_fixed_mm_B3,batched,cpu,float64,1,250,768,0.0001801669999395017,0.00017512499994154496,0.00023033299999042356,9.325420566060147,283.484375,28.8125,nan,ok
batched_fixed_mm_B3,batched,cpu,float32,8,250,768,0.0003004789999749846,0.0002654999998412677,0.0003529589998834126,1.191786766052246,283.53125,28.859375,nan,ok
batched_fixed_mm_B3,batched,cpu,float64,8,250,768,0.0005833335000033912,0.0005380420000165032,0.0006749579999905109,1.1917869482322627,289.125,34.453125,nan,ok
batched_fixed_mm_B3,batched,cpu,float32,32,250,768,0.0006193959999336585,0.000582666999889625,0.000714249999873573,0.32587385177612305,289.125,34.453125,nan,ok
batched_fixed_mm_B3,batched,cpu,float64,32,250,768,0.0010224375000689179,0.0009444580000490532,0.001189542000020083,0.3258742919728064,291.546875,36.875,nan,ok
batched_reference_B3,batched_reference,cpu,float32,1,250,2,0.002130833000023813,0.0020623330001399154,0.010843999999906373,11.105611801147461,276.875,22.609375,nan,ok
batched_reference_B3,batched_reference,cpu,float64,1,250,2,0.0037311669999553487,0.0034953750000568107,0.004036083000073631,11.105611070510134,301.921875,47.65625,nan,ok
batched_reference_B3,batched_reference,cpu,float32,8,250,2,0.0023466245000918207,0.0022414170000502054,0.002653291999877183,1.1815288066864014,301.921875,47.65625,nan,ok
batched_reference_B3,batched_reference,cpu,float64,8,250,2,0.003967521000049601,0.0038326249998590356,0.0039607080000223505,1.1815280226880782,307.046875,52.78125,nan,ok
batched_reference_B3,batched_reference,cpu,float32,32,250,2,0.002952500500100541,0.002843624999968597,0.004233249999970212,0.2993593215942383,307.0625,52.796875,nan,ok
batched_reference_B3,batched_reference,cpu,float64,32,250,2,0.004583186999980171,0.004308667000032074,0.004541917000096873,0.29935942267607674,313.171875,58.90625,nan,ok
batched_reference_B3,batched_reference,cpu,float32,1,250,768,0.0040859169999976075,0.0038882500000454456,0.003993709000042145,9.325418472290039,313.234375,58.96875,nan,ok
batched_reference_B3,batched_reference,cpu,float64,1,250,768,0.008367020500031686,0.008090999999922133,0.008532709000064642,9.325420566060146,318.71875,64.453125,nan,ok
batched_reference_B3,batched_reference,cpu,float32,8,250,768,0.004381500000022243,0.004081457999973281,0.0043557090000376775,1.191786766052246,318.71875,64.453125,nan,ok
batched_reference_B3,batched_reference,cpu,float64,8,250,768,0.009433291999926041,0.009121249999907377,0.009006957999872611,1.1917869482322625,329.421875,75.15625,nan,ok
batched_reference_B3,batched_reference,cpu,float32,32,250,768,0.005301708000047256,0.004982541999879686,0.00554575000001023,0.32587432861328125,329.421875,75.15625,nan,ok
batched_reference_B3,batched_reference,cpu,float64,32,250,768,0.011025395499927981,0.010151082999982464,0.010835709000048155,0.3258742919728057,346.40625,92.140625,nan,ok
reference,reference,cuda,float32,1,100,1,0.0006397174438461661,0.0006238680798560381,1.9044512622058392,2.0376431941986084,1253.0390625,530.4765625,16.9150390625,ok
reference,reference,cuda,float64,1,100,1,0.0006391770439222455,0.0006234380416572094,0.29966825991868973,2.0376430351117714,1291.15625,568.59375,17.5771484375,ok
reference,reference,cuda,float32,4,100,1,0.0006363369757309556,0.0006246401462703943,0.0007536818739026785,0.3570058345794678,1291.15625,568.59375,16.955078125,ok
reference,reference,cuda,float64,4,100,1,0.0006363174179568887,0.0006226371042430401,0.0007308181375265121,0.357005741524397,1291.15625,568.59375,17.65625,ok
reference,reference,cuda,float32,8,100,1,0.0006343949353322387,0.0006203041411936283,0.0007203631103038788,0.045539140701293945,1291.15625,568.59375,17.01025390625,ok
reference,reference,cuda,float64,8,100,1,0.0006333674537017941,0.0006224769167602062,0.0006790419574826956,0.045538795343057714,1291.15625,568.59375,17.76806640625,ok
reference,reference,cuda,float32,16,100,1,0.0006355709629133344,0.0006221858784556389,0.0007122410461306572,0.2781093120574951,1291.15625,568.59375,17.12646484375,ok
reference,reference,cuda,float64,16,100,1,0.0006351609481498599,0.0006257419008761644,0.0006733830086886883,0.27810919418358404,1291.15625,568.59375,18.00048828125,ok
reference,reference,cuda,float32,32,100,1,0.0006439789431169629,0.0006285859271883965,0.019285433925688267,0.13926410675048828,1291.15625,568.59375,17.38427734375,ok
reference,reference,cuda,float64,32,100,1,0.0006450159708037972,0.0006332928314805031,0.0011210590600967407,0.1392639574948933,1291.65625,569.09375,18.515625,ok
reference,reference,cuda,float32,1,100,2,0.0006437485571950674,0.0006275041960179806,0.0007576681673526764,1.7986280918121338,1291.65625,569.09375,16.916015625,ok
reference,reference,cuda,float64,1,100,2,0.0006488759536296129,0.000637077959254384,0.0008010829333215952,1.7986277611753723,1291.65625,569.09375,17.5791015625,ok
reference,reference,cuda,float32,4,100,2,0.0006444745231419802,0.000632602022960782,0.0006878438871353865,0.6644935607910156,1291.65625,569.09375,16.9560546875,ok
reference,reference,cuda,float64,4,100,2,0.0006533574778586626,0.0006420859135687351,0.0006860420107841492,0.6644934227970571,1291.65625,569.09375,17.658203125,ok
reference,reference,cuda,float32,8,100,2,0.0006440089782699943,0.0006296669598668814,0.0006759159732609987,0.4093151092529297,1291.65625,569.09375,17.01123046875,ok
reference,reference,cuda,float64,8,100,2,0.0006548005621880293,0.0006414649542421103,0.0006857109256088734,0.40931500084879424,1291.65625,569.09375,17.77001953125,ok
reference,reference,cuda,float32,16,100,2,0.0006453960668295622,0.000632110983133316,0.0006947240326553583,0.21517014503479004,1291.65625,569.09375,17.12744140625,ok
reference,reference,cuda,float64,16,100,2,0.0006656809709966183,0.000654194038361311,0.0007021250203251839,0.21517019933053216,1291.65625,569.09375,18.00244140625,ok
reference,reference,cuda,float32,32,100,2,0.0006447599735110998,0.0006320211105048656,0.0006928520742803812,0.13151788711547852,1291.65625,569.09375,17.38525390625,ok
reference,reference,cuda,float64,32,100,2,0.000669547007419169,0.0006585109513252974,0.0007428659591823816,0.1315174799750798,1291.65625,569.09375,18.517578125,ok
reference,reference,cuda,float32,100,100,1,0.0006370334886014462,0.0006259619258344173,0.0007886940147727728,0.023517131805419922,1291.65625,569.09375,18.84814453125,ok
reference,reference,cuda,float64,100,100,1,0.0006376844830811024,0.000624178908765316,0.0010725569445639849,0.023517210801413668,1291.65625,569.09375,22.14111328125,ok
reference,reference,cuda,float32,1,250,1,0.0006375140510499477,0.0006245099939405918,0.0006970781832933426,6.157979965209961,1291.65625,569.09375,20.48486328125,ok
reference,reference,cuda,float64,1,250,1,0.0006370185874402523,0.0006236189510673285,0.0007208629976958036,6.157979615575565,1291.65625,569.09375,24.42724609375,ok
reference,reference,cuda,float32,4,250,1,0.0006380550330504775,0.0006265330594033003,0.0006771679036319256,0.5367014408111572,1291.65625,569.09375,20.49658203125,ok
reference,reference,cuda,float64,4,250,1,0.0006379594560712576,0.0006241090595722198,0.0007742131128907204,0.5367018165496731,1291.65625,569.09375,24.625,ok
reference,reference,cuda,float32,8,250,1,0.0006377495592460036,0.0006266129203140736,0.0007451989222317934,0.17213177680969238,1291.65625,569.09375,20.57275390625,ok
reference,reference,cuda,float64,8,250,1,0.0006406740285456181,0.0006312800105661154,0.0006765469443053007,0.17213176323769952,1291.65625,569.09375,24.89111328125,ok
